Angry
Teeth
Look What You Made Me Do
Attention
Easier
I Knew You Were Trouble
Stitches
Martin Garrix-Scared To Be Lonely feat. Dua Lipa
"Alan Walker, Sabrina Carpenter &Farruko- On My Way"
