Sad
Bekhayali-Kabir Singh
Hawa Banke- Darshan Raval
In the End-Linkin Park
Numb-Linkin Park
Beside You-5sos
Lie To Me-5sos
Jet Black Heart-5sos
Vapor-5sos
We Don`t Talk Anymore-Charlie Puth
Heavy-Linkin Park
Teri Deewani-Kailash Kher
Saiyyan-Kailash Kher
Why Won`t You Love Me-5sos
Tujhe Bhula Diya-Anjaana Anjaani
Ae Dil Hai Mushkil-ADHM
Channa Meraya-ADHM
Tai hai-Rustom
Thodi der- Half Girlfriend
Ishq Wala Love- Student Of the Year
O Re Piya-Aaja Nachle
Abhi Mujhe Kahin- Agneepath
Mujhme Tu-Special 26
Banjaara- Ek villain
Tum Hi Ho-Aashiqui 2
Humdard- Ek Villain
Baarish-Yaariyan
Sun Raha Tu- Aashiqui2
Phir bhi Tumko Chahunga- Half Girlfriend
Without Me-Halsey
Lambiyaan si Judaaiyaan-Arjit Singh
Humaari Adhoori Kahani-HAK
Dancing With A Stranger-Sam Smith  & Normani
To Se Naina-Mickey Virus
