Happy
Hai Apna Dil Toh Awaara-Single
Ilahi-YJHD
Subhanallah-YJHD
Badtameez Dil-YJHD
Saki Saki-Single
Proper Patola-Diljit Dosanjh
Mercy-Badshah
Tareefan-Badshah
Pehla Pyaar-Kabir Singh
Mere Sohenya-Kabir Singh
Haareya-Meri Pyaari bindu
Pehli Mohabbat-Darshan Raval
Aahista Aahista-Bachna-E-Haseeno
Aaj Blue hai Paani-Yaariyan
Zehnaseeb-Hasee toh Phasee
Shake It Off-Taylor Swift
You need to calm down-Taylor Swift
Better Man-5sos
Youngblood-5sos
Want You Back-5sos
Ek Vaariya-  Raabta
This One`s For You-Zara Larsson and David Guetta
Ek Main aur Ek Tu- EMAET
Hairat - Anjaana Anjaani
Who Do Love You-Chainsmokers ft 5sos
Closer- Chainsmokers
Buddhu sa Mann-Kapoor&Sons
Fakira- Badmash Company
Matargashti-Tamasha
Safar- Jab Harry Met Sejal
 Disco Deewane- Student of the Year
Twist-Love Aajkal
Ishq Hua-Aaja Nachle
