Angry
Easier-5sos
Nadaan Parindey-Rockstar
Phir le Aaya-Barfi
Iktara-Wake Up Sid
Kabira-YJHD
Baarish-Half Girlfriend
Stitches-Shawn Mendes
Thinking Out Loud-Ed Sheeran
Look What You Made Do- Taylor Swift
Trouble-Taylor Swift
Attention-Charlie Puth
How Long-Charlie Puth
Back To You-Selena Gomez
Beautiful Now-Zedd
Moh Moh dhaage-Dum Laga Ke Haisha
Khwabon ke Parindey-ZNMD
Sadda Haq-Rockstar
Nain Parindey-Lafange
Theher Jaa- October
Bol Do Na Zara- Armaan Malik
Jee Karda- Badlapur
Nightmare-Halsey
Agar Tum Saath ho- YJHD
Love You Zindagi-Title track LYZ
Maahi Ve-Highway
Zombie-The Cranberries
Teeth- 5sos
Hawayein-Jab Harry Met Sejal
Harjaiyaan-Queen
Paani Da Rang-Vicky Donor
Chandaniyaan-2 states
Manchala-Hasee toh Phasee
Sooraj Ki Baahon mein-ZNMD
